Date,Return,Target_Return
2014-01-03 05:00:00+00:00,0.559313626356824,0.5491165008190582
2014-01-06 05:00:00+00:00,0.5491165008190582,0.5893355340184254
2014-01-07 05:00:00+00:00,0.5893355340184254,0.5598787831698411
2014-01-08 05:00:00+00:00,0.5598787831698411,0.5625020931955541
2014-01-09 05:00:00+00:00,0.5625020931955541,0.5716675973490289
2014-01-10 05:00:00+00:00,0.5716675973490289,0.5020133535447785
2014-01-13 05:00:00+00:00,0.5020133535447785,0.6115017012896059
2014-01-14 05:00:00+00:00,0.6115017012896059,0.5850504969051734
2014-01-15 05:00:00+00:00,0.5850504969051734,0.5545672261357477
2014-01-16 05:00:00+00:00,0.5545672261357477,0.5426419468118366
2014-01-17 05:00:00+00:00,0.5426419468118366,0.5738535332267642
2014-01-21 05:00:00+00:00,0.5738535332267642,0.5635624097736802
2014-01-22 05:00:00+00:00,0.5635624097736802,0.5192673865609236
2014-01-23 05:00:00+00:00,0.5192673865609236,0.46317168931160446
2014-01-24 05:00:00+00:00,0.46317168931160446,0.5380501584870933
2014-01-27 05:00:00+00:00,0.5380501584870933,0.5896111384938396
2014-01-28 05:00:00+00:00,0.5896111384938396,0.5130911986580395
2014-01-29 05:00:00+00:00,0.5130911986580395,0.6136034309002144
2014-01-30 05:00:00+00:00,0.6136034309002144,0.5306133709052839
2014-01-31 05:00:00+00:00,0.5306133709052839,0.45401510724992344
2014-02-03 05:00:00+00:00,0.45401510724992344,0.5966334080281377
2014-02-04 05:00:00+00:00,0.5966334080281377,0.5513795632945405
2014-02-05 05:00:00+00:00,0.5513795632945405,0.619092070182692
2014-02-06 05:00:00+00:00,0.619092070182692,0.6231268002053905
2014-02-07 05:00:00+00:00,0.6231268002053905,0.5682162099889628
2014-02-10 05:00:00+00:00,0.5682162099889628,0.6126443221204573
2014-02-11 05:00:00+00:00,0.6126443221204573,0.5596117645795873
2014-02-12 05:00:00+00:00,0.5596117645795873,0.5880637515888245
2014-02-13 05:00:00+00:00,0.5880637515888245,0.5833798167475914
2014-02-14 05:00:00+00:00,0.5833798167475914,0.5662937868921916
2014-02-18 05:00:00+00:00,0.5662937868921916,0.5303363777796849
2014-02-19 05:00:00+00:00,0.5303363777796849,0.589100092437453
2014-02-20 05:00:00+00:00,0.589100092437453,0.5518920362178509
2014-02-21 05:00:00+00:00,0.5518920362178509,0.5898257742973511
2014-02-24 05:00:00+00:00,0.5898257742973511,0.5545645985448816
2014-02-25 05:00:00+00:00,0.5545645985448816,0.5609735125708815
2014-02-26 05:00:00+00:00,0.5609735125708815,0.584029731677544
2014-02-27 05:00:00+00:00,0.584029731677544,0.5738953587968426
2014-02-28 05:00:00+00:00,0.5738953587968426,0.5263394063643487
2014-03-03 05:00:00+00:00,0.5263394063643487,0.6323271093034619
2014-03-04 05:00:00+00:00,0.6323271093034619,0.5606222610902019
2014-03-05 05:00:00+00:00,0.5606222610902019,0.5689143646098765
2014-03-06 05:00:00+00:00,0.5689143646098765,0.5633902928635851
2014-03-07 05:00:00+00:00,0.5633902928635851,0.5587038904283141
2014-03-10 04:00:00+00:00,0.5587038904283141,0.5370867724692482
2014-03-11 04:00:00+00:00,0.5370867724692482,0.562300199361568
2014-03-12 04:00:00+00:00,0.562300199361568,0.5061090542590094
2014-03-13 04:00:00+00:00,0.5061090542590094,0.5476656059731901
2014-03-14 04:00:00+00:00,0.5476656059731901,0.6058652209026594
2014-03-17 04:00:00+00:00,0.6058652209026594,0.594660864508729
2014-03-18 04:00:00+00:00,0.594660864508729,0.5321749049212661
2014-03-19 04:00:00+00:00,0.5321749049212661,0.5891424316053977
2014-03-20 04:00:00+00:00,0.5891424316053977,0.5471466065880259
2014-03-21 04:00:00+00:00,0.5471466065880259,0.5381043742851558
2014-03-24 04:00:00+00:00,0.5381043742851558,0.5814830593663923
2014-03-25 04:00:00+00:00,0.5814830593663923,0.5281093956253586
2014-03-26 04:00:00+00:00,0.5281093956253586,0.5519792727014267
2014-03-27 04:00:00+00:00,0.5519792727014267,0.5825888952754088
2014-03-28 04:00:00+00:00,0.5825888952754088,0.5979579530292426
2014-03-31 04:00:00+00:00,0.5979579530292426,0.5938171720019805
2014-04-01 04:00:00+00:00,0.5938171720019805,0.574225955578232
2014-04-02 04:00:00+00:00,0.574225955578232,0.5555999952513156
2014-04-03 04:00:00+00:00,0.5555999952513156,0.5021955448354811
2014-04-04 04:00:00+00:00,0.5021955448354811,0.5105597976367097
2014-04-07 04:00:00+00:00,0.5105597976367097,0.5784251136250488
2014-04-08 04:00:00+00:00,0.5784251136250488,0.6119708440715158
2014-04-09 04:00:00+00:00,0.6119708440715158,0.4631279440191585
2014-04-10 04:00:00+00:00,0.4631279440191585,0.5164724144261292
2014-04-11 04:00:00+00:00,0.5164724144261292,0.5993300986831894
2014-04-14 04:00:00+00:00,0.5993300986831894,0.5924971782754785
2014-04-15 04:00:00+00:00,0.5924971782754785,0.6099596792828873
2014-04-16 04:00:00+00:00,0.6099596792828873,0.56725499176713
2014-04-17 04:00:00+00:00,0.56725499176713,0.5785401039246775
2014-04-21 04:00:00+00:00,0.5785401039246775,0.5800237844024859
2014-04-22 04:00:00+00:00,0.5800237844024859,0.5505133089621612
2014-04-23 04:00:00+00:00,0.5505133089621612,0.5689075891358647
2014-04-24 04:00:00+00:00,0.5689075891358647,0.5229796161730953
2014-04-25 04:00:00+00:00,0.5229796161730953,0.5760170917930754
2014-04-28 04:00:00+00:00,0.5760170917930754,0.5831530182133899
2014-04-29 04:00:00+00:00,0.5831530182133899,0.5748750464365819
