,Close,Target,Custom_Normalized,Scaled
6853,1301.059944152832,0.36059096438316424,175.49286453375302,0.36185821092714326
6854,1297.410041809082,0.3561203609409601,174.85207338304824,0.36059096438316424
6855,1281.410041809082,0.3524192323541627,172.5914847567185,0.3561203609409601
6856,1268.359992980957,0.3576246563386322,170.7199859096248,0.3524192323541627
6857,1289.650032043457,0.356417300006163,173.3521411447387,0.3576246563386322
6858,1286.2099685668945,0.3586652176320173,172.74163385452792,0.356417300006163
6859,1296.130012512207,0.3585917727921624,173.87830747893398,0.3586652176320173
6860,1297.079963684082,0.35924252459924144,173.84116963573564,0.3585917727921624
6861,1300.839973449707,0.35153550847620607,174.17022636211823,0.35924252459924144
6862,1272.1899490356445,0.3535990552434977,170.273125396687,0.35153550847620607
6863,1281.410041809082,0.35459921690592433,171.31657074189508,0.3535990552434977
6864,1286.5200271606445,0.35291212007745015,171.8223087497059,0.35459921690592433
6865,1281.1899490356445,0.35647804322655896,170.96921767346288,0.35291212007745015
6866,1296.3000564575195,0.35843634413662706,172.77234904430688,0.35647804322655896
6867,1305.1799392700195,0.3642834266184824,173.76257616274003,0.35843634413662706
6868,1329.2800369262695,0.3638290521575892,176.7191900352461,0.3642834266184824
6869,1328.7800369262695,0.3639032929976898,176.48943274371513,0.3638290521575892
6870,1330.349983215332,0.36393086492867033,176.52697308942243,0.3639032929976898
6871,1331.7399978637695,0.3613383343608208,176.54091500898346,0.36393086492867033
6872,1322.849983215332,0.3581143600491458,175.22998569242495,0.3613383343608208
6873,1311.4699783325195,0.35914109043084796,173.5997628925788,0.3581143600491458
6874,1316.7700271606445,0.3583928080422144,174.11893553966976,0.35914109043084796
6875,1315.099983215332,0.3590069317966346,173.74056186396888,0.3583928080422144
6876,1318.7900466918945,0.36203607283839895,174.0510973861526,0.3590069317966346
6877,1332.0100173950195,0.36211406666396545,175.58280152298497,0.36203607283839895
6878,1333.609992980957,0.362897129608376,175.62223958929502,0.36211406666396545
6879,1338.0000076293945,0.3627832393654985,176.0182002708271,0.362897129608376
6880,1338.849983215332,0.3634086198284586,175.96061095631347,0.3627832393654985
6881,1342.630012512207,0.3606772764132652,176.27683850366208,0.3634086198284586
6882,1333.109992980957,0.36260035476161434,174.89571760157133,0.3606772764132652
6883,1342.0400466918945,0.3635416450668011,175.86813421110085,0.36260035476161434
6884,1347.089973449707,0.3671005621459768,176.3441035484596,0.3635416450668011
6885,1362.569953918457,0.36755631267882344,178.14369225616855,0.3671005621459768
6886,1365.7199783325195,0.36747663090291005,178.3741453671,0.36755631267882344
6887,1366.7399978637695,0.36669787256096303,178.33385377812678,0.36747663090291005
6888,1364.9699783325195,0.36976850624605223,177.94006974578664,0.36669787256096303
6889,1378.589973449707,0.36857603355586227,179.49275489755115,0.36976850624605223
6890,1375.170051574707,0.36810869878815355,178.8897736142631,0.36857603355586227
6891,1374.650032043457,0.37151140288688034,178.65346286243093,0.36810869878815355
6892,1389.660041809082,0.37087923647310184,180.37406149834013,0.37151140288688034
6893,1388.4899978637695,0.37049372781574824,180.05440259246527,0.37087923647310184
6894,1388.309944152832,0.3672460788218563,179.85946772574502,0.37049372781574824
6895,1376.609992980957,0.36788392032765155,178.21727367458044,0.3672460788218563
6896,1380.5400466918945,0.3699302063749524,178.5398022262721,0.36788392032765155
6897,1390.160041809082,0.37119082984602225,179.57451958032686,0.3699302063749524
6898,1396.630012512207,0.3716467714575421,180.21196173274015,0.37119082984602225
6899,1399.859992980957,0.37225657875704593,180.4425114637993,0.3716467714575421
6900,1403.7199783325195,0.3714780036950226,180.75086434352409,0.37225657875704593
6901,1401.9599685668945,0.37233175671682667,180.3571729878251,0.3714780036950226
6902,1406.819953918457,0.3667865474147259,180.78887854966607,0.37233175671682667
6903,1385.7099685668945,0.36998608772243274,177.98490874089083,0.3667865474147259
6904,1400.089973449707,0.3689788813845034,179.60277633362006,0.36998608772243274
6905,1397.390022277832,0.36815458491522685,179.09347614152614,0.3689788813845034
6906,1395.4299392700195,0.37098873987747266,178.67666546993328,0.36815458491522685
6907,1408.380012512207,0.3703027579129944,180.10977367461678,0.37098873987747266
6908,1406.9899978637695,0.37240417094424944,179.76290259852723,0.3703027579129944
6909,1416.9899978637695,0.3726307897358768,180.82549525723422,0.37240417094424944
6910,1419.339973449707,0.37204351873645203,180.9400864683511,0.3726307897358768
6911,1418.359992980957,0.37124697868453144,180.64312920988792,0.37204351873645203
6912,1416.5200271606445,0.36729936379235384,180.24035374454715,0.37124697868453144
6913,1401.7500076293945,0.36895755408320696,178.24421755359327,0.36729936379235384
6914,1409.9699783325195,0.36919061500255884,179.08269185806992,0.36895755408320696
6915,1412.349983215332,0.3717880172407768,179.20054057141255,0.36919061500255884
6916,1424.4699783325195,0.37153331173588466,180.5139332786002,0.3717880172407768
6917,1424.859992980957,0.3725696727531289,180.3851398450366,0.37153331173588466
6918,1430.579963684082,0.37290610700165205,180.90918228329832,0.3725696727531289
6919,1433.420051574707,0.370564914413146,181.07930236788005,0.37290610700165205
6920,1425.1899490356445,0.36693555782036574,179.89546367450336,0.370564914413146
