,Close,Custom_Normalized,Scaled,Target
4787,-2.25,-1.6184696429077559,0.2086003623074085,0.21110781581353116
4788,-2.0699996948242188,-1.4888704819335539,0.21110781581353116,0.211945054189711
4789,-2.0100002288818377,-1.4455973401491238,0.211945054189711,0.2051295636549152
4790,-2.5,-1.797859845826845,0.2051295636549152,0.20304550157465906
4791,-2.6499996185302734,-1.9055757800843847,0.20304550157465906,0.2012400040389788
4792,-2.7799997329711914,-1.9988939473779361,0.2012400040389788,0.2024950977648497
4793,-2.689999580383301,-1.9340237141234895,0.2024950977648497,0.2019417784623951
4794,-2.72999954223633,-1.9626223370586087,0.2019417784623951,0.19985864470897993
4795,-2.880000114440918,-2.070290290215241,0.19985864470897993,0.2004181920476438
4796,-2.840000152587889,-2.041369767685466,0.2004181920476438,0.20306353906169083
4797,-2.6499996185302734,-1.9046435023054784,0.20306353906169083,0.20403987347916824
4798,-2.579999923706053,-1.8541811024937391,0.20403987347916824,0.20390376099138324
4799,-2.590000152587889,-1.8612161538603846,0.20390376099138324,0.20640914980447636
4800,-2.4099998474121094,-1.7317237077200338,0.20640914980447636,0.2044656906449633
4801,-2.5500001907348633,-1.8321725000288465,0.2044656906449633,0.20321757559252152
4802,-2.6399993896484375,-1.8966820365768864,0.20321757559252152,0.20613936386108134
4803,-2.4300003051757812,-1.7456677476877758,0.20613936386108134,0.2085047717778382
4804,-2.2600002288818377,-1.623410293810811,0.2085047717778382,0.20753456328975176
4805,-2.329999923706053,-1.6735560714768878,0.20753456328975176,0.20531390090119372
4806,-2.489999771118166,-1.788332270382013,0.20531390090119372,0.20615039055426007
4807,-2.4300003051757812,-1.7450978267776591,0.20615039055426007,0.20601422325249075
4808,-2.439999580383301,-1.7521357112362672,0.20601422325249075,0.20546130099733034
4809,-2.47999954223633,-1.7807138125561037,0.20546130099733034,0.203658265175791
4810,-2.609999656677246,-1.8739047447537913,0.203658265175791,0.20060542209871712
4811,-2.829999923706053,-2.0316926759790754,0.20060542209871712,0.2004697406999253
4812,-2.840000152587889,-2.038705446265858,0.2004697406999253,0.20061184299106746
4813,-2.829999923706053,-2.0313608085050507,0.20061184299106746,0.19908753245577437
4814,-2.939999580383301,-2.1101456657140685,0.19908753245577437,0.1910373001318104
4815,-3.5199995040893555,-2.5262265032193763,0.1910373001318104,0.19118012655884
4816,-3.5100002288818377,-2.5188444380832595,0.19118012655884,0.19312776036984416
4817,-3.369999885559082,-2.418179876537136,0.19312776036984416,0.19285394909892903
4818,-3.3899993896484375,-2.4323319678477953,0.19285394909892903,0.1903592240404121
4819,-3.5699996948242188,-2.5612732517661803,0.1903592240404121,0.1953599939226339
4820,-3.2100000381469727,-2.302805615425768,0.1953599939226339,0.1968902961470339
4821,-3.09999942779541,-2.2237110743565407,0.1968902961470339,0.1971713564509166
4822,-3.079999923706053,-2.209184312652919,0.1971713564509166,0.19592597349360133
4823,-3.1700000762939453,-2.2735526393100343,0.19592597349360133,0.19454205226278629
4824,-3.2699995040893555,-2.3450813954485104,0.19454205226278629,0.19426827313248668
4825,-3.2899999618530273,-2.3592318255531715,0.19426827313248668,0.1946881912439491
4826,-3.2600002288818377,-2.3375281190674806,0.1946881912439491,0.19718882672338314
4827,-3.079999923706053,-2.2082813516815087,0.19718882672338314,0.19871809473104374
4828,-2.9700002670288086,-2.1292402646928315,0.19871809473104374,0.2001084274095944
4829,-2.869999885559082,-2.0573801292306175,0.2001084274095944,0.20094379586077377
4830,-2.809999465942381,-2.0142036355836526,0.20094379586077377,0.19872820253271295
4831,-2.9700002670288086,-2.1287178372131494,0.19872820253271295,0.19859292007121673
4832,-2.97999954223633,-2.1357099881988515,0.19859292007121673,0.19748709826541103
4833,-3.059999465942381,-2.1928650173427444,0.19748709826541103,0.19790648319821852
4834,-3.0299997329711914,-2.171188868499164,0.19790648319821852,0.1955532478045929
4835,-3.1999998092651367,-2.2928171785930442,0.1955532478045929,0.1912597637816666
4836,-3.5100002288818377,-2.5147283429152174,0.1912597637816666,0.19070932595323806
4837,-3.5500001907348633,-2.543178035226007,0.19070932595323806,0.19251507301383908
4838,-3.4200000762939453,-2.449846971094972,0.19251507301383908,0.18863865023522405
4839,-3.6999998092651367,-2.6502020877354546,0.18863865023522405,0.18601000406927046
4840,-3.8899993896484375,-2.7860651602804882,0.18601000406927046,0.18684576766723046
4841,-3.829999923706053,-2.7428682432473637,0.18684576766723046,0.19045237235061355
4842,-3.5699996948242188,-2.5564588283606047,0.19045237235061355,0.1918417842363077
4843,-3.4700002670288086,-2.484646284601023,0.1918417842363077,0.18921373929560806
4844,-3.6599998474121094,-2.6204782824767645,0.18921373929560806,0.19115709627135882
4845,-3.5199995040893555,-2.520034771593838,0.19115709627135882,0.19088407722468015
4846,-3.5399999618530273,-2.534145916344133,0.19088407722468015,0.193934912275048
4847,-3.3199996948242188,-2.3764617711215337,0.193934912275048,0.1954619567891691
4848,-3.2100000381469727,-2.2975356066614094,0.1954619567891691,0.19338856974562477
4849,-3.359999656677246,-2.404699795573386,0.19338856974562477,0.19616153039147338
4850,-3.1599998474121094,-2.2613777470333227,0.19616153039147338,0.1947806475646287
4851,-3.2600002288818377,-2.3327494615340196,0.1947806475646287,0.19464592096023817
4852,-3.2699995040893555,-2.339712882728981,0.19464592096023817,0.19617228481867766
4853,-3.1599998474121094,-2.2608218983449904,0.19617228481867766,0.1950685730636761
4854,-3.239999771118166,-2.317867868312647,0.1950685730636761,0.19700986539530088
4855,-3.09999942779541,-2.2175310697359647,0.19700986539530088,0.20171861456232212
4856,-2.7600002288818377,-1.9741566901935996,0.20171861456232212,0.200614721284467
4857,-2.840000152587889,-2.031212042273212,0.200614721284467,0.20283181019669821
4858,-2.6800003051757812,-1.916620540525016,0.20283181019669821,0.20338828507755194
4859,-2.6399993896484375,-1.8878588197251047,0.20338828507755194,0.2025612093432505
4860,-2.6999998092651367,-1.9306066995824411,0.2025612093432505,0.20256427231296958
4861,-2.6999998092651367,-1.9304483882499615,0.20256427231296958,0.20505712560916906
4862,-2.5199995040893555,-1.8016038474318143,0.20505712560916906,0.20533659773425672
4863,-2.5,-1.7871591716527429,0.20533659773425672,0.20644582285975654
4864,-2.4200000762939453,-1.7298282399942841,0.20644582285975654,0.20229994302771964
4865,-2.7200002670288086,-1.9441103977371395,0.20229994302771964,0.20396235316449185
